group,name,anatomy,modality,targets,link,link_type,worksheet,row
MRI,HVSMR,Heart,MR,"blood pool, ventricular myocardium",https://segchd.csail.mit.edu/data.html,Dataset,organizers,130
MRI,I2CVB,Pelvis,MR,"Prostate Gland, Peripheral Zone, Central Gland, CaP",https://i2cvb.github.io/,Dataset,organizers,83
MRI,IBD,Abdomen,MRE,"stomach, duodenum, small intestine, appendix, cecum, ascending colon, transverse colon, descending colon, sigmoid colon, rectum",https://zenodo.org/records/13839321,Dataset,organizers,134
MRI,ISBILesion2015,Head and Neck,MR,MS Lesions,https://iacl.ece.jhu.edu/index.php/MSChallenge,Dataset,participants,45
MRI,ISLES,Brain,"MR-DWI-ADC, FLAIR",Ischemic stroke lesion,https://zenodo.org/records/7960856,Dataset,organizers,35
MRI,LGGFLair,Head and Neck,FLAIR,low-grade glioma brain tumor,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,Dataset,participants,13
MRI,LGGMRISeg,Head and Neck,MR,Tumor,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation/data,Dataset,participants,57
MRI,LLD-MMRI-MedSAM2,Abdomen,MRI,Liver lesion,https://huggingface.co/datasets/wanglab/LLD-MMRI-MedSAM2,Dataset,organizers,174
MRI,MAMA-MIA,breast,MR,Breast Cancer lesions (primary tumors and non-mass-enhanced regions),https://www.synapse.org/Synapse:syn60868042/wiki/628716,Dataset,organizers,133
MRI,MedSeg_Lateral-Ventricles,—,MR,—,https://figshare.com/articles/dataset/MedSeg_Ventricles_MRI_Dataset/19644636,Dataset,organizers,169
MRI,Meningioma-SEG-CLASS,Brain,MR,Tumor (Meningioma),https://doi.org/10.7937/0TKV-1A36,Dataset,organizers,91
MRI,MMs-20-21,Chest,MR,"LV, Myocardium, RV",https://www.ub.edu/mnms/,Dataset,organizers,93
MRI,MSD-Hippocampus,Head,MR,Hippocampus,http://medicaldecathlon.com/,Dataset,organizers,96
MRI,MSD-LeftAtrium,Chest,MR,Left Atrium,http://medicaldecathlon.com/#tasks,Dataset,organizers,36
MRI,MSD-Prostate,Pelvis,"MR (T2, ADC)",Prostate,http://medicaldecathlon.com/#tasks,Dataset,organizers,37
MRI,NCI-ISBI,Pelvis,MR-T2,Prostate,http://dx.doi.org/10.7937/K9/TCIA.2015.zF0vlOPv,Dataset,organizers,38
MRI,OASIS,Brain,MR,"cerebral spinal fluid, gray matter, white matter",https://sites.wustl.edu/oasisbrains/home/oasis-1/,Dataset,organizers,131
MRI,PanSegData,Abdomen,MR,Pancreas,https://osf.io/kysnj/,Dataset,organizers,39
MRI,PI-CAI,Pelvis,MR,Prostate Cancer,https://zenodo.org/records/6624726,Dataset,organizers,109
MRI,Pituitary_tumor,Head and neck,MR,"Pituitary Neuroendocrine Tumor, carotid",https://springernature.figshare.com/articles/dataset/Mapping_pituitary_neuroendocrine_tumors_an_annotated_MRI_dataset_profiling_tumor_and_carotid_characteristics/27894084,Dataset,organizers,148
MRI,PROMISE12,Pelvis,MR-T2,Prostate,https://zenodo.org/records/8026660,Dataset,organizers,40
MRI,PROSTATE-MRI,Prostate,MRI Histopathology,Prostate tumor,https://www.cancerimagingarchive.net/collection/prostate-mri/,Dataset,participants,69
MRI,ProstateX,Prostate,MR,Prostate Lesion,https://www.cancerimagingarchive.net/collection/prostatex/,Dataset,participants,49
MRI,QIN-PROSTATE,Pelvis,MR,Prostate and lesion,http://doi.org/10.7937/K9/TCIA.2018.MR1CKGND,Dataset,organizers,41
MRI,ReMIND,Head and Neck,MR,Brain Cancer,https://www.cancerimagingarchive.net/collection/remind/,Dataset,participants,67
MRI,RESECT,Brain,MR,tumor,https://osf.io/jv8bk/,Dataset,organizers,156
MRI,SCD,Heart,MR,Heart anatomy,https://www.cardiacatlas.org/sunnybrook-cardiac-data/,Dataset,participants,25
MRI,SegThy,Neck,MRI,"Thyroid, Carotid, Jugular Vein",https://www.cs.cit.tum.de/camp/publications/segthy-dataset/,Dataset,organizers,127
MRI,SPIDER,Bone,MR,IVD,https://zenodo.org/records/10159290,Dataset,organizers,42
MRI,SpineMR,Bone,MR,Spine,https://www.cg.informatik.uni-siegen.de/en/spine-segmentation-and-analysis,Dataset,organizers,45
MRI,Stanford Knee MRI Multi-Task Evaluation (SKM-TEA) Dataset,Knee,MR,Cartilage (Femur-Tibia-Patella) & Meniscus,https://stanfordaimi.azurewebsites.net/datasets/4aaeafb9-c6e6-4e3c-9188-3aaaf0e0a9e7,Dataset,participants,42
MRI,TCIA_CervicalCancer,Pelvis,MR,Tumor,https://doi.org/10.7937/ERZ5-QZ59,Dataset,organizers,46
MRI,TOM500,Head,MR,"optic nerve, orbital fat, lacrimal gland, eyeball, superior rectus and levator palpebrae superioris complex, inferior rectus, medial rectus, lateral rectus, superior oblique",https://springernature.figshare.com/articles/dataset/TOM500_A_Multi-Organ_Annotated_Orbital_MRI_Dataset_for_Thyroid_Eye_Disease/27133389?file=49499655,Dataset,organizers,146
MRI,TopCoW24,Brain,MRA,vessel,https://topcow24.grand-challenge.org/,Dataset,organizers,125
MRI,TotalSegmentatorMR,WholeBody,MR,Whole body organs,https://zenodo.org/records/14710732,Dataset,organizers,47
MRI,TrackRAD,Whole-body,MRI,Lesion,https://huggingface.co/datasets/LMUK-RADONC-PHYS-RES/TrackRAD2025,Dataset,organizers,129
MRI,UCSF-PDGM,Brain,MR,brain lesion,https://doi.org/10.7937/tcia.bdgf-8v37,Dataset,organizers,110
MRI,WMH,Brain,"MR-T1, FLAIR",White matter hyper-intensities,https://wmh.isi.uu.nl/,Dataset,organizers,48
Ultrasound,AbdominalUS,Abdomen,Ultrasound,Organs,https://www.kaggle.com/datasets/ignaciorlando/ussimandsegm,Dataset,participants,32
Ultrasound,ACOUSLIC,Abdomen,US,Abdominal circumference,https://zenodo.org/records/12697994,Dataset,organizers,159
Ultrasound,BUID,Breast,Ultrasound,Tumors,https://scholar.cu.edu.eg/?q=afahmy/pages/dataset,Dataset,participants,35
Ultrasound,BUS-UCLM,Breast,Ultrasound,breast lesions,https://data.mendeley.com/datasets/7fvgj4jsp7/3,Dataset,organizers,140
Ultrasound,BUSI,Chest,US,benign breast cancer malignant breast cancer,https://scholar.cu.edu.eg/?q=afahmy/pages/dataset,Dataset,organizers,59
Ultrasound,CAMUS,Heart,US,"left ventricle, myocardium, left atrium",https://www.creatis.insa-lyon.fr/Challenge/camus/index.html,Dataset,organizers,50
Ultrasound,CT2US,Abdomen,Ultrasound,Liver,https://www.kaggle.com/datasets/siatsyx/ct2usforkidneyseg,Dataset,participants,30
Ultrasound,CT2USforKidneySeg,Abdomen,US,kidney,https://www.kaggle.com/datasets/siatsyx/ct2usforkidneyseg,Dataset,organizers,69
Ultrasound,DDTI,Head and Neck,Ultrasound,Thyroid,https://www.kaggle.com/datasets/dasmehdixtr/ddti-thyroid-ultrasound-images?select=100_1.jpg,Dataset,participants,33
Ultrasound,hc18,Head,US,fetal head circumference,https://zenodo.org/record/1327317,Dataset,organizers,79
Ultrasound,HMC-QU,Chest,US,left ventricle,https://www.kaggle.com/datasets/aysendegerli/hmcqu-dataset,Dataset,organizers,80
Ultrasound,Leg-3D-US,Low-limb leg,US,"Soleus, Gastrocnemius Medialis, Gastrocnemius Lateralis",https://www.cs.cit.tum.de/camp/publications/leg-3d-us-dataset/,Dataset,organizers,49
Ultrasound,Micro-Ultrasound-Prostate,Prostate,Micro-Ultrasound,Prostate,https://zenodo.org/records/10475293,Dataset,participants,17
Ultrasound,MMOTU,Pelvic Cavity,Ultrasound,Tumors,https://github.com/cv516Buaa/MMOTU_DS2Net,Dataset,participants,34
Ultrasound,MuscleUS,"Leg, Biceps",Ultrasound,Muscles,https://data.mendeley.com/datasets/3jykz7wz8d/1,Dataset,participants,31
Ultrasound,ps-fh-aop-2023,Pelvis,Ultrasound,Pubic symphysis Fetal head,https://zenodo.org/record/7851339#.ZEH6eHZBztU,Dataset,organizers,106
Ultrasound,RESECT,Brain,US,tumor,https://osf.io/jv8bk/,Dataset,organizers,157
Ultrasound,SegThy,Neck,US,"Thyroid, Carotid, Jugular Vein",https://www.cs.cit.tum.de/camp/publications/segthy-dataset/,Dataset,organizers,126
Ultrasound,US simulation & segmentation,Abdomen,Ultrasound,Abdomen organs,https://www.kaggle.com/datasets/ignaciorlando/ussimandsegm,Dataset,organizers,111
Ultrasound,US-Nerve,Neck,US,Brachial Plexus (BP),https://www.kaggle.com/competitions/ultrasound-nerve-segmentation/data,Dataset,organizers,112
Chest radiography,Chest X-Ray Pneumothorax,Chest,CXR,Pneumothorax,https://www.kaggle.com/datasets/vbookshelf/pneumothorax-chest-xray-images-and-masks,Dataset,organizers,63
Chest radiography,Chest Xray Masks and Labels,Chest,CXR,Lungs,https://www.kaggle.com/datasets/nikhilpandey360/chest-xray-masks-and-labels,Dataset,organizers,64
Chest radiography,COVID-19 Radiography Database,Chest,CXR,Lungs,https://www.kaggle.com/datasets/tawsifurrahman/covid19-radiography-database,Dataset,organizers,67
Chest radiography,COVID-QU-Ex,Chest,CXR,Lungs,https://www.kaggle.com/datasets/anasmohammedtahir/covidqu,Dataset,organizers,68
Radiography,ARCADE,Chest,X-Ray,Vessel,https://doi.org/10.5281/zenodo.10390295,Dataset,organizers,52
